title,release_date,budget,revenue,vote_average,genres_cleaned
The Cheat,1915-12-13,17311.0,137365.0,4.8,Drama
Foolish Wives,1922-01-11,1100000.0,400200.0,6.4,Drama
The Thief of Bagdad,1924-03-18,1135654.0,1213880.0,7.4,"Action, Adventure, Drama, Family, Fantasy"
The Gold Rush,1925-06-25,923000.0,2500000.0,7.7,"Adventure, Comedy, Drama"
The Merry Widow,1925-08-26,592.0,1.0,6.5,"Romance, Drama"
The Unholy Three,1925-09-16,103000.0,704000.0,5.8,"Crime, Drama, Romance"
The Big Parade,1925-11-05,245000.0,22000000.0,7.0,"Drama, Romance, War"
Ben-Hur: A Tale of the Christ,1925-12-30,3900000.0,9000000.0,7.3,"Adventure, Drama"
Sparrows,1926-05-14,463455.0,966878.0,8.0,Drama
Flesh and the Devil,1926-12-25,373000.0,658000.0,7.9,"Drama, Romance"
My Best Girl,1927-10-31,483103.0,1027757.0,8.0,"Drama, Comedy, Romance"
Across to Singapore,1928-04-07,290000.0,596000.0,7.7,"Adventure, Drama"
Lights of New York,1928-07-18,75000.0,1200000.0,5.7,"Crime, Drama"
The Mysterious Lady,1928-08-04,337.0,551.0,7.5,"Adventure, Drama"
West of Zanzibar,1928-11-24,259000.0,921000.0,6.2,"Drama, Mystery"
The Broadway Melody,1929-02-08,379000.0,4358000.0,5.0,"Drama, Music, Romance"
Hell's Angels,1930-11-15,3950000.0,8000000.0,6.1,"Action, Drama, History"
City Lights,1931-01-30,1500000.0,19181.0,8.2,"Comedy, Drama, Romance"
Frankenstein,1931-11-21,291000.0,12000000.0,7.3,"Drama, Horror, Science Fiction"
Mata Hari,1931-12-26,558000.0,2227000.0,6.1,"Drama, Action, Thriller, Romance"
Grand Hotel,1932-05-25,700000.0,2594000.0,6.5,"Drama, Romance"
A Farewell to Arms,1932-12-08,4.0,25.0,6.2,"Drama, Romance, War"
42nd Street,1933-02-02,439000.0,2281000.0,6.1,"Music, Comedy, Romance"
Cavalcade,1933-02-08,1180280.0,7630000.0,4.6,Drama
She Done Him Wrong,1933-02-09,200000.0,2200000.0,5.2,Comedy
I'm No Angel,1933-10-06,225000.0,2850000.0,6.3,"Comedy, Romance"
Queen Christina,1933-12-26,1114000.0,2610000.0,6.8,"Drama, History, Romance"
It Happened One Night,1934-02-22,325000.0,4500000.0,7.7,"Comedy, Romance"
The Thin Man,1934-05-25,226408.0,1423000.0,7.4,"Comedy, Crime, Mystery"
The Painted Veil,1934-11-23,947000.0,1120000.0,5.2,"Romance, Drama"
Star of Midnight,1935-04-19,280.0,831.0,5.3,"Romance, Comedy, Mystery"
The Informer,1935-05-09,243000.0,950000.0,6.5,Drama
Top Hat,1935-09-06,609000.0,3202000.0,7.4,"Comedy, Music, Romance"
Modern Times,1936-02-05,1.0,8500000.0,8.1,"Drama, Comedy"
San Francisco,1936-06-26,1300000.0,5273000.0,7.0,"Music, Drama, Romance"
Swing Time,1936-08-27,886000.0,2600000.0,7.1,"Comedy, Music, Romance"
Mary of Scotland,1936-08-28,864000.0,1276000.0,6.6,"Drama, History"
The Gorgeous Hussy,1936-08-28,1119000.0,2019000.0,2.5,"Drama, History"
The Charge of the Light Brigade,1936-10-20,1200000.0,2736000.0,6.8,"Action, Adventure, Drama, War"
Snow White and the Seven Dwarfs,1937-12-20,1488423.0,184925486.0,6.9,"Fantasy, Animation, Family"
The Adventures of Robin Hood,1938-05-13,2033000.0,3981000.0,7.6,"Action, Adventure, Romance"
Alexander's Ragtime Band,1938-05-24,2000000.0,4000000.0,4.8,"Drama, Music, Romance"
You Can't Take It With You,1938-08-23,1644736.0,7433101.0,7.2,"Comedy, Romance"
Stagecoach,1939-03-02,531374.0,1103757.0,7.6,"Adventure, Western"
The Wizard of Oz,1939-08-15,2777000.0,33754967.0,7.4,"Adventure, Family, Fantasy"
Ninotchka,1939-10-06,1365000.0,2279000.0,7.3,"Comedy, Romance"
Mr. Smith Goes to Washington,1939-10-19,1500000.0,9600000.0,7.9,"Comedy, Drama"
Gone with the Wind,1939-12-15,4000000.0,400176459.0,7.7,"Drama, Romance, War"
Rebecca,1940-04-12,1288000.0,6000000.0,7.7,"Drama, Mystery"
Boom Town,1940-08-30,2000000.0,9172000.0,6.5,"Adventure, Drama, Romance"
The Great Dictator,1940-10-15,2000000.0,11000000.0,8.1,Comedy
Fantasia,1940-11-13,2280000.0,83320000.0,7.2,"Animation, Family, Music"
Citizen Kane,1941-04-30,839727.0,23217674.0,8.0,"Mystery, Drama"
Sergeant York,1941-07-02,1400000.0,16361885.0,7.1,"Action, Drama, History, War"
Dumbo,1941-10-22,812000.0,1600000.0,6.8,"Animation, Family"
How Green Was My Valley,1941-10-28,1250000.0,6000000.0,6.9,Drama
Suspicion,1941-11-14,1103000.0,4500000.0,7.1,"Mystery, Thriller"
The Maltese Falcon,1941-11-18,375000.0,1000000.0,7.8,"Mystery, Crime, Thriller"
Mrs. Miniver,1942-06-04,1344000.0,13500000.0,6.7,"Drama, Romance, War"
Invisible Agent,1942-07-31,322000.0,1040000.0,5.7,"Adventure, Comedy, Romance, Science Fiction, War"
Bambi,1942-08-14,858000.0,267447150.0,6.8,"Animation, Drama, Family"
For Me and My Gal,1942-10-21,802000.0,4371000.0,6.2,"Drama, Music, Romance"
Casablanca,1942-11-26,878000.0,10462500.0,7.9,"Drama, Romance"
Cat People,1942-12-05,134000.0,4000000.0,6.9,"Thriller, Drama, Horror"
Cabin in the Sky,1943-04-09,662141.0,1606624.0,7.1,"Fantasy, Music"
Five Graves to Cairo,1943-05-03,855000.0,1200000.0,6.9,"Thriller, War"
A Guy Named Joe,1944-03-01,2627000.0,5363000.0,6.0,"Drama, Romance, War"
Double Indemnity,1944-04-24,927262.0,2500000.0,8.0,"Drama, Mystery, Thriller"
Bathing Beauty,1944-07-01,2361000.0,6892000.0,7.0,"Comedy, Music"
Wilson,1944-08-01,2995000.0,2000000.0,5.5,"Romance, Drama, History, Music"
Laura,1944-10-11,1020000.0,2000000.0,7.6,"Drama, Mystery"
The Valley of Decision,1945-06-01,2160000.0,9132000.0,5.8,Drama
Mildred Pierce,1945-09-24,1453000.0,5638000.0,7.4,"Crime, Drama"
The Lost Weekend,1945-11-25,1250000.0,11000000.0,7.4,Drama
Spellbound,1945-12-28,1500000.0,7000000.0,7.3,"Drama, Mystery, Thriller"
Scarlet Street,1945-12-28,1202007.0,2948386.0,7.7,Drama
Notorious,1946-08-15,2000000.0,24464742.0,7.8,"Thriller, Drama, Romance"
It's a Wonderful Life,1946-12-20,3180000.0,9644124.0,8.0,"Drama, Family, Fantasy"
The Best Years of Our Lives,1946-12-25,2100000.0,23650000.0,7.6,"Drama, History, Romance"
Duel in the Sun,1946-12-31,6000000.0,20400000.0,6.2,Western
Gentleman's Agreement,1947-11-11,2000000.0,7800000.0,6.8,"Drama, Romance"
The Treasure of the Sierra Madre,1948-01-24,3800000.0,4307000.0,7.9,"Action, Adventure, Drama, Western"
Fort Apache,1948-03-26,2500000.0,3000000.0,6.8,Western
Miranda,1948-04-06,784170.0,834332.0,6.8,"Comedy, Drama, Fantasy, Romance, Science Fiction"
The Pirate,1948-06-11,3700000.0,2956000.0,6.6,"Music, Romance"
Rope,1948-08-23,1500000.0,2200000.0,7.8,"Crime, Drama, Mystery, Thriller"
Red River,1948-08-26,3000000.0,9012000.0,7.3,Western
Bicycle Thieves,1948-11-24,133000.0,361712.0,8.0,Drama
3 Godfathers,1948-12-01,1243000.0,2841000.0,6.1,"Action, Drama, Western"
She Wore a Yellow Ribbon,1949-10-22,1600000.0,5400000.0,7.1,Western
Sands of Iwo Jima,1949-12-14,1000000.0,7800000.0,6.2,"Action, Drama, History, War"
Samson and Delilah,1949-12-21,3000000.0,11500000.0,6.1,"Drama, Romance"
Wabash Avenue,1950-03-31,2115000.0,2039000.0,7.0,Music
Annie Get Your Gun,1950-05-17,3768785.0,8000000.0,7.3,"Action, Comedy, Music, Romance, Western"
Sunset Boulevard,1950-08-10,1752000.0,5000000.0,8.2,Drama
All About Eve,1950-11-09,1400000.0,63463.0,8.0,Drama
Rashomon,1950-12-26,250000.0,96568.0,8.0,"Crime, Drama, Mystery"
Valentino,1951-03-08,1300000.0,1550000.0,6.0,
Strangers on a Train,1951-06-18,1200000.0,7000000.0,7.6,"Crime, Drama, Thriller"
Ace in the Hole,1951-06-29,1821052.0,1300000.0,7.9,Drama
Show Boat,1951-07-13,2300000.0,11000000.0,6.9,"Music, Romance"
An American in Paris,1951-08-08,2723903.0,4500000.0,6.9,"Drama, Comedy, Music, Romance"
A Streetcar Named Desire,1951-09-18,1800000.0,8000000.0,7.6,Drama
Quo Vadis,1951-11-08,8250000.0,30000000.0,7.0,"Drama, History, Romance"
The African Queen,1951-12-03,1300000.0,10750000.0,7.4,"Adventure, War, Romance"
The Greatest Show on Earth,1952-01-10,4000000.0,36000000.0,6.6,"Action, Drama, Romance"
High Noon,1952-03-27,730000.0,8000000.0,7.6,Western
Singin' in the Rain,1952-04-10,2540800.0,7200000.0,7.9,"Comedy, Music, Romance"
Scaramouche,1952-05-08,3005000.0,6746000.0,6.9,"Action, Adventure, Drama"
Niagara,1953-01-26,1250000.0,8500000.0,6.7,"Crime, Drama, Thriller"
Shane,1953-04-23,3100000.0,20000000.0,7.3,"Drama, Western"
"The Beast from 20,000 Fathoms",1953-06-13,210000.0,5000000.0,6.7,"Adventure, Horror, Science Fiction"
Robot Monster,1953-06-25,16000.0,1000000.0,3.5,Science Fiction
The War of the Worlds,1953-08-13,2000000.0,2000000.0,6.8,"Horror, Science Fiction, Thriller"
From Here to Eternity,1953-08-28,1650000.0,30500000.0,7.2,"War, Drama, Romance"
Roman Holiday,1953-09-02,1500000.0,12000000.0,7.8,"Comedy, Romance"
The Robe,1953-09-16,4100000.0,36000000.0,6.4,Drama
Seven Samurai,1954-04-26,2000000.0,271841.0,8.2,"Action, Drama"
Dial M for Murder,1954-05-29,1400000.0,3000000.0,7.9,"Crime, Mystery, Thriller"
On the Waterfront,1954-06-22,910000.0,9600000.0,8.0,"Crime, Drama"
The Caine Mutiny,1954-06-24,2000000.0,21750000.0,7.2,"Drama, War"
Rear Window,1954-08-01,1000000.0,36764313.0,8.2,"Drama, Mystery, Thriller"
The Egyptian,1954-08-25,5000000.0,15000000.0,6.0,"History, Drama"
Sabrina,1954-09-28,2238813.0,10000000.0,7.4,"Comedy, Drama, Romance"
The Silver Chalice,1954-12-20,4500000.0,3200000.0,4.1,"Drama, Romance"
"20,000 Leagues Under the Sea",1954-12-23,5000000.0,28200000.0,6.9,"Adventure, Drama, Science Fiction"
Bad Day at Black Rock,1955-01-07,1271000.0,3788000.0,7.0,"Crime, Drama, Western"
East of Eden,1955-03-09,1.0,5.0,7.5,Drama
Marty,1955-04-11,343000.0,3000000.0,7.2,"Drama, Romance"
To Catch a Thief,1955-08-03,2500000.0,8750000.0,7.1,"Crime, Drama, Mystery, Romance, Thriller"
The Trouble with Harry,1955-10-03,1200000.0,7000000.0,6.9,"Comedy, Mystery, Thriller"
Forbidden Planet,1956-03-15,1900000.0,3250000.0,7.2,"Adventure, Science Fiction, Action"
Trapeze,1956-05-30,4000000.0,14400000.0,6.4,Drama
The Man Who Knew Too Much,1956-06-01,2500000.0,10250000.0,7.3,"Adventure, Crime, Drama, Mystery, Thriller"
Moby Dick,1956-06-27,4500000.0,10400000.0,6.9,"Adventure, Drama"
Somebody Up There Likes Me,1956-07-03,1920000.0,3360000.0,6.8,Drama
War and Peace,1956-08-21,6000000.0,12500000.0,6.8,"Drama, War, Romance"
The Ten Commandments,1956-10-05,13000000.0,122700000.0,7.5,"Drama, History"
Giant,1956-10-10,5400000.0,35000000.0,7.5,"Action, Drama, Western"
Around the World in Eighty Days,1956-10-17,6000000.0,42000000.0,6.5,"Adventure, Comedy, Family, Fantasy, Romance"
Love Me Tender,1956-11-15,1000000.0,9000000.0,5.5,"Drama, Action, Western, Music, Romance"
The Wrong Man,1956-12-22,1200000.0,2000000.0,6.9,"Crime, Drama, Mystery"
12 Angry Men,1957-03-25,350000.0,1000000.0,8.2,Drama
I Was a Teenage Werewolf,1957-06-19,82000.0,2000000.0,5.2,"Drama, Fantasy, Horror, Science Fiction"
The Bridge on the River Kwai,1957-10-02,3000000.0,27200000.0,7.7,"Drama, History, War"
Legend of the Lost,1957-12-17,1750000.0,2200000.0,6.1,"Adventure, Drama"
Witness for the Prosecution,1957-12-17,3000000.0,9000000.0,8.1,"Drama, Mystery, Crime"
Cat on a Hot Tin Roof,1958-02-17,3000000.0,17570324.0,7.6,"Drama, Romance"
South Pacific,1958-03-18,6000000.0,36800000.0,6.3,"Music, Romance, War"
Touch of Evil,1958-04-23,829000.0,2247465.0,7.6,"Drama, Thriller, Crime"
Vertigo,1958-05-09,2479000.0,28000000.0,8.0,"Mystery, Romance, Thriller"
Attack of the 50 Foot Woman,1958-05-19,88000.0,480000.0,4.8,"Horror, Science Fiction"
Macabre,1958-10-01,90000.0,5000000.0,6.1,"Horror, Thriller"
Sleeping Beauty,1959-01-28,6000000.0,51000000.0,6.8,"Fantasy, Animation, Romance, Family"
Some Like It Hot,1959-03-18,2883848.0,25000000.0,8.0,"Comedy, Romance"
The Nun's Story,1959-06-18,3500000.0,12800000.0,7.4,Drama
North by Northwest,1959-07-07,4000000.0,13275000.0,7.8,"Mystery, Thriller"
Solomon and Sheba,1959-12-25,5000000.0,12200000.0,5.4,"Drama, History, Romance, War"
Exodus,1960-03-27,4000000.0,21750000.0,6.9,"Action, Drama, History, War"
Peeping Tom,1960-04-06,150000.0,83957.0,7.6,"Horror, Thriller"
Never on Sunday,1960-05-24,151000.0,8000000.0,6.0,"Drama, Comedy, Romance"
The Apartment,1960-06-15,3000000.0,25000000.0,8.1,"Comedy, Drama, Romance"
Elmer Gantry,1960-06-19,3000000.0,10400000.0,7.3,Drama
House of Usher,1960-06-21,270000.0,1450000.0,6.5,"Horror, Thriller"
The Bellboy,1960-07-20,900000.0,10000000.0,6.1,Comedy
Spartacus,1960-10-06,12000000.0,60000000.0,7.3,"Action, Drama, History"
Cinderfella,1960-12-18,3000000.0,7100000.0,6.7,"Comedy, Romance"
The Misfits,1961-01-01,4000000.0,8200000.0,6.8,"Drama, Action, Romance"
One Hundred and One Dalmatians,1961-01-25,4000000.0,215880014.0,6.8,"Adventure, Animation, Comedy, Family"
One-Eyed Jacks,1961-03-30,6000000.0,4300000.0,6.2,"Western, Action"
The Guns of Navarone,1961-04-27,6000000.0,28900000.0,7.3,"Action, Adventure, Drama, War"
Parrish,1961-05-04,1500000.0,4200000.0,6.0,"Drama, Romance"
Voyage to the Bottom of the Sea,1961-07-12,1580000.0,7000000.0,5.4,"Adventure, Drama, Science Fiction"
The Pit and the Pendulum,1961-08-12,200000.0,2000000.0,6.9,"Fantasy, Horror, Drama"
A Woman Is a Woman,1961-09-06,160000.0,100655.0,7.5,"Comedy, Drama, Romance"
The Hustler,1961-09-25,2000000.0,7600000.0,7.6,Drama
Breakfast at Tiffany's,1961-10-05,2500000.0,9500000.0,7.6,"Comedy, Drama, Romance"
King of Kings,1961-10-11,5037000.0,14483352.0,7.2,Drama
West Side Story,1961-10-18,6000000.0,43656822.0,7.0,"Crime, Drama, Music"
Judgment at Nuremberg,1961-12-01,3000000.0,10000000.0,7.6,"Drama, History"
"One, Two, Three",1961-12-15,3000000.0,4000000.0,7.6,"Comedy, Family"
Pocketful of Miracles,1961-12-18,2900000.0,5000000.0,7.3,"Comedy, Drama"
The Man Who Shot Liberty Valance,1962-04-22,3200000.0,8000000.0,7.4,Western
The Miracle Worker,1962-05-22,500000.0,2500000.0,7.5,Drama
Eegah,1962-06-08,15000.0,3274.0,2.8,Horror
Birdman of Alcatraz,1962-07-03,2650000.0,3100000.0,7.0,Drama
Vivre Sa Vie,1962-09-20,64000.0,24517.0,7.6,Drama
The Longest Day,1962-09-25,10000000.0,50100000.0,7.3,"Action, Drama, History, War"
Dr. No,1962-10-04,950000.0,59600000.0,6.9,"Adventure, Action, Thriller"
How the West Was Won,1962-11-01,15000000.0,50000000.0,6.6,"History, Western, Adventure"
Mutiny on the Bounty,1962-11-08,19000000.0,13680000.0,6.5,"Adventure, Drama, History"
Lawrence of Arabia,1962-12-10,15000000.0,69995385.0,7.8,"Adventure, Drama, History, War"
To Kill a Mockingbird,1962-12-25,2000000.0,13129846.0,7.9,"Crime, Drama"
The Birds,1963-03-28,2500000.0,11403529.0,7.3,Horror
55 Days at Peking,1963-05-06,17000000.0,10000000.0,6.5,"Action, Drama, History"
Hud,1963-05-29,2500000.0,10000000.0,7.4,"Action, Drama, Western"
Blood Feast,1963-06-06,24500.0,4000000.0,5.3,Horror
Donovan's Reef,1963-06-12,2686000.0,6600000.0,6.0,"Adventure, Comedy, Romance"
Cleopatra,1963-06-12,31115000.0,71000000.0,6.7,"Drama, History, Romance"
The Great Escape,1963-06-20,4000000.0,11744471.0,7.8,"Adventure, Drama, History, Thriller, War"
Tom Jones,1963-10-06,1000000.0,37600000.0,6.1,"Adventure, Comedy, History, Romance"
From Russia with Love,1963-10-11,2000000.0,78898765.0,6.9,"Action, Thriller, Adventure"
Contempt,1963-10-21,900000.0,528428.0,7.5,Drama
"It's a Mad, Mad, Mad, Mad World",1963-11-07,9400000.0,60000000.0,7.0,"Action, Adventure, Comedy, Crime"
Charade,1963-12-05,4000000.0,13474588.0,7.7,"Comedy, Mystery, Romance, Thriller"
The Sword in the Stone,1963-12-25,3000000.0,22182353.0,6.9,"Animation, Family"
Zulu,1964-01-22,3500000.0,8000000.0,7.4,"Action, Drama, History, War"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29,1800000.0,9440272.0,8.0,"Drama, Comedy, War"
The Fall of the Roman Empire,1964-03-24,19000000.0,4750000.0,6.0,"War, Drama, History"
A Hard Day's Night,1964-07-06,560000.0,12299668.0,7.3,"Comedy, Music"
Marnie,1964-07-09,2135161.0,7000000.0,7.2,"Crime, Drama, Mystery, Thriller"
Band of Outsiders,1964-08-05,120000.0,182857.0,7.5,"Crime, Drama, Romance"
The Night of the Iguana,1964-08-06,3000000.0,12000000.0,6.9,"Drama, Romance"
Mary Poppins,1964-08-27,6000000.0,102272727.0,7.4,"Comedy, Family, Fantasy"
A Fistful of Dollars,1964-09-12,200000.0,14500000.0,7.6,Western
Goldfinger,1964-09-17,2500000.0,124881062.0,7.2,"Adventure, Action, Thriller"
The Train,1964-09-21,5800000.0,6800000.0,7.2,"Action, Drama, Thriller, War"
My Fair Lady,1964-10-21,17000000.0,72070731.0,7.4,"Drama, Family, Music, Romance"
The Greatest Story Ever Told,1965-02-15,20000000.0,15473333.0,6.5,"Drama, History"
The Sound of Music,1965-03-02,8200000.0,286214286.0,7.4,"Drama, Family, Music, Romance"
Major Dundee,1965-04-07,3800000.0,14873.0,6.2,"War, Western"
Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 hours 11 minutes,1965-06-03,5600000.0,29950000.0,6.4,"Action, Adventure, Comedy"
The Great Race,1965-07-01,12000000.0,25333333.0,7.2,"Adventure, Comedy"
A Patch of Blue,1965-12-10,800000.0,6792000.0,7.6,"Drama, Romance"
Thunderball,1965-12-16,5500000.0,141195658.0,6.5,"Adventure, Action, Thriller"
For a Few Dollars More,1965-12-18,600000.0,15000000.0,7.8,Western
Doctor Zhivago,1965-12-22,11000000.0,111858363.0,7.4,"Drama, Romance, War"
Dracula: Prince of Darkness,1966-01-09,280379.0,364937.0,6.1,Horror
Harper,1966-02-23,3500000.0,12000000.0,6.3,"Action, Drama, Thriller, Crime, Mystery"
Who's Afraid of Virginia Woolf?,1966-06-21,7500000.0,33736689.0,7.8,Drama
Torn Curtain,1966-07-13,3000000.0,13000000.0,6.4,"Mystery, Thriller"
Fantastic Voyage,1966-08-24,5115000.0,12000000.0,6.7,"Adventure, Science Fiction"
The Battle of Algiers,1966-09-08,800000.0,921548.0,7.8,"Drama, War, History"
Hawaii,1966-10-10,15000000.0,34562222.0,5.8,"Drama, Adventure, Romance"
A Man for All Seasons,1966-12-12,3900000.0,28350000.0,7.5,"Drama, History"
El Dorado,1966-12-17,4653000.0,6000000.0,7.2,Western
The Sand Pebbles,1966-12-20,12000000.0,20000000.0,7.2,"Action, Adventure, Drama, War, Romance"
"The Good, the Bad and the Ugly",1966-12-23,1200000.0,6000000.0,8.1,Western
A Countess from Hong Kong,1967-01-05,3500000.0,2000000.0,5.9,"Comedy, Romance"
Hombre,1967-03-21,5860000.0,12000000.0,7.2,"Action, Drama, Western"
You Only Live Twice,1967-06-12,9500000.0,111584787.0,6.5,"Action, Thriller, Adventure"
The Dirty Dozen,1967-06-15,5400000.0,45300000.0,7.5,"Action, Adventure, War"
Cool Hand Luke,1967-06-22,3000000.0,16217773.0,7.7,"Crime, Drama"
Bonnie and Clyde,1967-07-18,2500000.0,50700000.0,7.6,"Crime, Drama"
In the Heat of the Night,1967-08-02,2000000.0,27379978.0,7.5,"Crime, Drama, Mystery, Thriller"
The Born Losers,1967-08-18,360000.0,36000000.0,5.3,"Action, Drama"
Point Blank,1967-08-30,2500000.0,3200000.0,7.1,"Action, Crime, Drama, Thriller"
Wait Until Dark,1967-10-26,4000000.0,11000000.0,7.5,"Horror, Crime, Thriller"
Guess Who's Coming to Dinner,1967-12-11,4000000.0,56666667.0,7.6,"Comedy, Drama, Romance"
In Cold Blood,1967-12-14,3500000.0,13007551.0,7.4,"Crime, Drama"
The Graduate,1967-12-21,3000000.0,104945305.0,7.6,Drama
Valley of the Dolls,1967-12-27,5000000.0,50000000.0,6.7,"Music, Drama, Romance"
The Bride Wore Black,1968-03-22,747000.0,44566.0,7.3,"Mystery, Drama, Romance, Thriller, Crime"
2001: A Space Odyssey,1968-04-10,10500000.0,68700000.0,7.9,"Science Fiction, Mystery, Adventure"
Rosemary's Baby,1968-06-12,3200000.0,33395426.0,7.5,"Horror, Drama, Mystery"
The Green Berets,1968-07-04,7000000.0,11000000.0,5.8,"War, Drama"
Star!,1968-07-18,14320000.0,14000000.0,6.0,"Drama, Music, Romance"
Hang 'em High,1968-07-31,1800000.0,6800000.0,6.7,Western
Funny Girl,1968-09-19,14000000.0,52223306.0,6.9,"Drama, Comedy, Music, Romance"
Charly,1968-09-23,950000.0,814666.0,6.6,"Drama, Romance, Science Fiction"
Oliver!,1968-09-26,10000000.0,37402877.0,7.0,"Drama, Family, Music"
Barbarella,1968-10-10,9000000.0,2500000.0,5.7,Science Fiction
Vixen!,1968-10-15,76000.0,6000000.0,5.5,"Comedy, Drama, Romance"
Bullitt,1968-10-17,5500000.0,42300873.0,7.0,"Action, Crime, Drama, Thriller"
Shalako,1968-11-06,1455000.0,2620000.0,5.4,Western
Where Eagles Dare,1968-12-04,7700000.0,21000000.0,7.4,"Adventure, Drama, Action, History, War"
Once Upon a Time in the West,1968-12-21,5000000.0,5321508.0,8.1,Western
Sweet Charity,1969-01-01,8000000.0,20000000.0,6.5,"Comedy, Drama, Music, Romance"
Hard Contract,1969-04-30,4000000.0,1750000.0,6.7,"Crime, Romance"
Midnight Cowboy,1969-05-25,3600000.0,44785053.0,7.4,Drama
The Wild Bunch,1969-06-17,6244087.0,638641.0,7.7,"Adventure, Western"
Bob & Carol & Ted & Alice,1969-09-17,2000000.0,30000000.0,6.2,"Comedy, Drama"
Butch Cassidy and the Sundance Kid,1969-09-23,6000000.0,102308889.0,7.4,"History, Drama, Western, Crime"
Paint Your Wagon,1969-10-15,20000000.0,31678778.0,6.3,"Drama, Action, Comedy, Western, Music"
"Hello, Dolly!",1969-12-12,24000000.0,33208099.0,6.6,"Comedy, Family, Music, Romance"
On Her Majesty's Secret Service,1969-12-12,6500000.0,81974493.0,6.5,"Adventure, Action, Thriller"
Topaz,1969-12-18,4000000.0,6000000.0,6.1,"Action, Drama, Mystery, Thriller"
M*A*S*H,1970-01-24,3500000.0,81600000.0,6.9,"Comedy, Drama, War"
Patton,1970-01-25,12000000.0,89800000.0,7.3,"Drama, History, War"
Tora! Tora! Tora!,1970-01-26,25485000.0,29548291.0,6.9,"History, Action, Drama, Adventure, War"
The Molly Maguires,1970-01-27,11000000.0,2200000.0,5.9,"Drama, History"
Zabriskie Point,1970-02-09,7000000.0,1000000.0,7.1,"Drama, Romance"
Airport,1970-03-05,10000000.0,100489151.0,6.2,"Action, Drama, Thriller"
Woodstock,1970-03-26,600000.0,34505110.0,7.1,"History, Documentary, Music"
Beneath the Planet of the Apes,1970-05-01,3000000.0,18999718.0,6.2,"Adventure, Science Fiction, Mystery"
The Ballad of Cable Hogue,1970-05-13,3716946.0,5000000.0,6.9,"Action, Comedy, Western"
Kelly's Heroes,1970-06-22,4000000.0,5200000.0,7.2,"Adventure, Comedy, War"
Catch-22,1970-06-24,18000000.0,24911670.0,6.7,"War, Comedy, Drama"
Myra Breckinridge,1970-06-24,5000000.0,3000000.0,4.8,"Comedy, Drama"
Beyond the Valley of the Dolls,1970-07-17,2090000.0,40000000.0,6.6,"Comedy, Drama, Thriller"
Waterloo,1970-10-26,25000000.0,3052000.0,7.1,"History, Action, Drama"
The Private Life of Sherlock Holmes,1970-10-29,10000000.0,1500000.0,6.9,"Adventure, Comedy, Crime, Mystery, Romance, Thriller"
Little Big Man,1970-12-14,15000000.0,31559552.0,7.5,"Adventure, Western, History"
Love Story,1970-12-16,2200000.0,136400000.0,6.6,"Drama, Romance"
The Aristocats,1970-12-23,4000000.0,55675257.0,7.1,"Animation, Comedy, Family, Adventure"
Vanishing Point,1971-01-15,1300000.0,72266306.0,7.1,"Action, Thriller, Drama"
THX 1138,1971-03-11,777000.0,2437000.0,6.4,"Drama, Mystery, Science Fiction"
The Andromeda Strain,1971-03-12,6500000.0,12376563.0,7.0,"Science Fiction, Thriller"
Sweet Sweetback's Baadasssss Song,1971-04-23,150000.0,15200000.0,4.7,"Action, Drama, Romance"
Bananas,1971-04-28,2000000.0,11833696.0,6.7,Comedy
Escape from the Planet of the Apes,1971-05-20,2500000.0,12348905.0,6.3,"Action, Science Fiction"
Willy Wonka & the Chocolate Factory,1971-06-29,3000000.0,4000000.0,7.4,"Family, Fantasy"
The Touch,1971-07-14,6900000.0,6530000.0,6.0,Drama
The Last Picture Show,1971-10-03,1300000.0,29133000.0,7.6,Drama
Bedknobs and Broomsticks,1971-10-07,20000000.0,17900000.0,6.8,"Adventure, Fantasy, Animation, Comedy, Family, Music"
The French Connection,1971-10-09,1800000.0,41158757.0,7.4,"Action, Crime, Thriller"
Fiddler on the Roof,1971-11-03,9000000.0,83304330.0,7.4,"Drama, Romance"
Play Misty for Me,1971-11-03,725000.0,10600000.0,6.5,"Crime, Drama, Romance, Thriller"
Diamonds Are Forever,1971-12-13,7200000.0,116019547.0,6.3,"Adventure, Action, Thriller"
A Clockwork Orange,1971-12-18,2200000.0,26589000.0,8.0,"Science Fiction, Drama"
Dirty Harry,1971-12-21,4000000.0,35976000.0,7.4,"Action, Crime, Thriller"
The Cowboys,1972-01-13,6000000.0,7500000.0,7.0,"Action, Adventure, Drama, Western"
The Goalie's Anxiety at the Penalty Kick,1972-02-19,410000.0,100.0,3.5,"Crime, Drama"
Pink Flamingos,1972-03-12,12000.0,6000000.0,6.2,"Horror, Comedy, Crime"
The Godfather,1972-03-14,6000000.0,245066411.0,8.5,"Drama, Crime"
Frenzy,1972-05-25,3500000.0,12600000.0,7.2,"Crime, Drama, Mystery, Thriller"
The Way of the Dragon,1972-06-01,130000.0,85000000.0,7.4,"Action, Crime"
Shaft's Big Score!,1972-06-08,1978000.0,10000000.0,6.1,"Action, Adventure, Crime, Mystery"
Conquest of the Planet of the Apes,1972-06-29,1700000.0,9700000.0,6.1,"Action, Science Fiction"
Deliverance,1972-07-30,2000000.0,46122355.0,7.2,"Drama, Adventure, Thriller"
